soil_moisture,rainfall_24h,rainfall_48h,slope_degree,elevation,historical_count,landslide_occurred,state,district,lat,lon
88.2,141.4,268.9,45.9,626.0,1,1,Mizoram,Lunglei,22.9,92.75
94.3,186.6,345.2,28.8,1481.0,1,1,Mizoram,Lunglei,22.9,92.75
76.1,209.7,367.2,49.7,1464.0,1,1,Mizoram,Lunglei,22.9,92.75
71.8,157.6,212.0,49.8,1916.0,1,1,Mizoram,Lunglei,22.9,92.75
87.7,129.6,256.6,51.8,2268.0,1,1,Mizoram,Lunglei,22.9,92.75
70.8,145.3,193.4,29.6,2039.0,1,1,Mizoram,Lunglei,22.9,92.75
87.3,215.5,329.2,36.1,1527.0,1,1,Mizoram,Lunglei,22.9,92.75
70.7,98.2,160.3,31.8,2008.0,1,1,Mizoram,Lunglei,22.9,92.75
78.1,196.6,351.9,34.4,2397.0,4,1,Mizoram,Aizawl,23.7271,92.7176
89.1,134.2,201.6,45.5,735.0,4,1,Mizoram,Aizawl,23.7271,92.7176
71.0,81.0,150.0,44.9,2092.0,4,1,Mizoram,Aizawl,23.7271,92.7176
88.4,144.2,245.0,29.2,675.0,4,1,Mizoram,Aizawl,23.7271,92.7176
85.1,146.0,247.5,47.9,1923.0,4,1,Mizoram,Aizawl,23.7271,92.7176
81.6,158.3,239.5,25.9,1448.0,4,1,Mizoram,Aizawl,23.7271,92.7176
71.4,137.2,260.3,32.0,540.0,4,1,Mizoram,Aizawl,23.7271,92.7176
73.4,121.1,213.5,41.7,2281.0,4,1,Mizoram,Aizawl,23.7271,92.7176
84.9,136.9,256.0,30.0,455.0,4,1,Mizoram,Aizawl,23.7271,92.7176
67.7,181.1,294.0,29.8,1603.0,4,1,Mizoram,Aizawl,23.7271,92.7176
69.6,177.5,286.2,36.4,1124.0,4,1,Mizoram,Aizawl,23.7271,92.7176
83.9,130.7,177.9,28.5,2709.0,4,1,Mizoram,Aizawl,23.7271,92.7176
92.3,178.0,264.5,54.1,2269.0,4,1,Mizoram,Aizawl,23.7271,92.7176
86.5,142.9,213.0,27.9,2566.0,4,1,Mizoram,Aizawl,23.7271,92.7176
78.7,108.3,164.0,42.4,824.0,4,1,Mizoram,Aizawl,23.7271,92.7176
90.7,186.2,335.8,38.0,1906.0,4,1,Mizoram,Aizawl,23.7271,92.7176
82.5,171.0,232.4,37.5,500.0,3,1,Tripura,West Tripura,23.8315,91.2868
79.8,126.2,176.8,28.1,1810.0,3,1,Tripura,West Tripura,23.8315,91.2868
70.1,209.5,357.6,35.4,1818.0,3,1,Tripura,West Tripura,23.8315,91.2868
65.7,214.2,350.8,48.5,599.0,3,1,Tripura,West Tripura,23.8315,91.2868
79.6,148.7,290.9,42.2,1536.0,3,1,Tripura,West Tripura,23.8315,91.2868
73.0,126.4,210.4,38.2,452.0,3,1,Tripura,West Tripura,23.8315,91.2868
89.8,205.5,287.3,41.6,661.0,3,1,Tripura,West Tripura,23.8315,91.2868
85.2,119.4,210.3,46.8,2245.0,3,1,Tripura,West Tripura,23.8315,91.2868
68.2,208.2,304.3,26.1,1732.0,3,1,Tripura,West Tripura,23.8315,91.2868
76.1,196.2,366.0,34.5,2687.0,3,1,Tripura,West Tripura,23.8315,91.2868
73.7,152.1,225.0,53.1,795.0,3,1,Tripura,West Tripura,23.8315,91.2868
66.3,140.9,281.1,51.8,2197.0,3,1,Tripura,West Tripura,23.8315,91.2868
91.7,205.1,341.1,34.5,2253.0,2,1,Manipur,Churachandpur,24.3322,93.6825
84.8,132.3,180.8,47.4,1030.0,2,1,Manipur,Churachandpur,24.3322,93.6825
93.1,113.7,157.6,49.9,768.0,2,1,Manipur,Churachandpur,24.3322,93.6825
70.4,163.9,313.4,30.9,1145.0,2,1,Manipur,Churachandpur,24.3322,93.6825
88.3,216.1,356.6,29.3,433.0,2,1,Manipur,Churachandpur,24.3322,93.6825
71.9,98.5,174.7,28.7,1615.0,2,1,Manipur,Churachandpur,24.3322,93.6825
85.8,161.4,232.3,49.1,2117.0,2,1,Manipur,Churachandpur,24.3322,93.6825
87.2,98.3,136.4,52.8,1354.0,2,1,Manipur,Churachandpur,24.3322,93.6825
74.0,148.4,261.8,53.7,1087.0,3,1,Manipur,Imphal East,24.817,93.9368
92.7,83.5,141.0,44.0,654.0,3,1,Manipur,Imphal East,24.817,93.9368
69.2,138.7,274.1,42.9,2639.0,3,1,Manipur,Imphal East,24.817,93.9368
89.1,145.4,269.0,25.5,662.0,3,1,Manipur,Imphal East,24.817,93.9368
89.9,191.6,280.2,40.9,1854.0,3,1,Manipur,Imphal East,24.817,93.9368
91.0,164.4,261.3,36.2,1422.0,3,1,Manipur,Imphal East,24.817,93.9368
84.6,201.4,325.9,32.4,968.0,3,1,Manipur,Imphal East,24.817,93.9368
87.4,194.3,266.9,27.0,1827.0,3,1,Manipur,Imphal East,24.817,93.9368
69.4,195.5,296.5,29.3,2610.0,3,1,Manipur,Imphal East,24.817,93.9368
70.0,119.9,168.7,28.5,451.0,3,1,Manipur,Imphal East,24.817,93.9368
66.7,104.4,139.7,42.7,2034.0,3,1,Manipur,Imphal East,24.817,93.9368
76.8,124.5,205.9,51.3,2443.0,3,1,Manipur,Imphal East,24.817,93.9368
66.3,105.4,154.5,32.5,1771.0,2,1,Meghalaya,East Khasi Hills,25.2592,91.7276
77.5,86.9,135.7,40.7,644.0,2,1,Meghalaya,East Khasi Hills,25.2592,91.7276
90.0,87.3,170.0,28.0,2425.0,2,1,Meghalaya,East Khasi Hills,25.2592,91.7276
92.1,217.1,404.2,48.4,1942.0,2,1,Meghalaya,East Khasi Hills,25.2592,91.7276
88.4,98.8,165.6,40.4,2458.0,2,1,Meghalaya,East Khasi Hills,25.2592,91.7276
78.9,133.9,234.0,33.0,735.0,2,1,Meghalaya,East Khasi Hills,25.2592,91.7276
79.3,138.4,202.4,36.0,1279.0,2,1,Meghalaya,East Khasi Hills,25.2592,91.7276
74.8,133.1,237.0,33.9,2677.0,2,1,Meghalaya,East Khasi Hills,25.2592,91.7276
92.5,147.3,225.4,41.1,2437.0,2,1,Meghalaya,East Khasi Hills,25.2838,91.7344
84.6,192.6,322.2,44.0,1092.0,2,1,Meghalaya,East Khasi Hills,25.2838,91.7344
87.0,108.3,193.5,50.8,717.0,2,1,Meghalaya,East Khasi Hills,25.2838,91.7344
83.4,93.3,168.7,27.5,2646.0,2,1,Meghalaya,East Khasi Hills,25.2838,91.7344
69.1,214.2,398.6,42.8,2278.0,2,1,Meghalaya,East Khasi Hills,25.2838,91.7344
88.9,212.4,313.9,42.7,628.0,2,1,Meghalaya,East Khasi Hills,25.2838,91.7344
83.5,104.0,176.3,42.2,1518.0,2,1,Meghalaya,East Khasi Hills,25.2838,91.7344
80.7,186.9,347.6,39.8,1839.0,2,1,Meghalaya,East Khasi Hills,25.2838,91.7344
92.9,96.8,133.7,27.6,1979.0,4,1,Assam,Dima Hasao,25.45,93.18
77.6,188.4,333.5,35.0,2556.0,4,1,Assam,Dima Hasao,25.45,93.18
87.9,117.9,183.3,34.4,778.0,4,1,Assam,Dima Hasao,25.45,93.18
69.4,211.1,339.1,36.5,2151.0,4,1,Assam,Dima Hasao,25.45,93.18
81.6,211.1,389.7,39.4,1303.0,4,1,Assam,Dima Hasao,25.45,93.18
94.6,180.5,354.8,28.6,2441.0,4,1,Assam,Dima Hasao,25.45,93.18
84.1,97.1,166.2,45.6,430.0,4,1,Assam,Dima Hasao,25.45,93.18
78.6,195.6,294.7,38.8,1462.0,4,1,Assam,Dima Hasao,25.45,93.18
74.1,208.6,385.2,28.3,2793.0,4,1,Assam,Dima Hasao,25.45,93.18
91.4,119.7,225.8,28.2,2798.0,4,1,Assam,Dima Hasao,25.45,93.18
85.0,171.0,233.1,51.9,470.0,4,1,Assam,Dima Hasao,25.45,93.18
72.2,100.0,184.4,30.9,2586.0,4,1,Assam,Dima Hasao,25.45,93.18
84.7,85.1,110.9,26.5,1854.0,4,1,Assam,Dima Hasao,25.45,93.18
89.0,113.4,214.8,26.7,2322.0,4,1,Assam,Dima Hasao,25.45,93.18
92.8,188.1,336.4,50.1,496.0,4,1,Assam,Dima Hasao,25.45,93.18
71.1,97.5,161.2,47.4,1912.0,4,1,Assam,Dima Hasao,25.45,93.18
90.5,101.7,184.6,30.8,1050.0,1,1,Meghalaya,West Garo Hills,25.514,90.22
86.3,217.2,375.4,26.6,1879.0,1,1,Meghalaya,West Garo Hills,25.514,90.22
66.3,203.8,366.1,30.2,620.0,1,1,Meghalaya,West Garo Hills,25.514,90.22
70.5,217.2,352.1,48.5,1927.0,1,1,Meghalaya,West Garo Hills,25.514,90.22
82.2,100.3,196.8,34.0,1787.0,1,1,Meghalaya,West Garo Hills,25.514,90.22
86.0,170.9,334.7,29.5,1620.0,1,1,Meghalaya,West Garo Hills,25.514,90.22
77.1,146.4,202.5,29.0,1067.0,1,1,Meghalaya,West Garo Hills,25.514,90.22
74.1,139.9,241.7,44.0,1388.0,1,1,Meghalaya,West Garo Hills,25.514,90.22
77.3,110.5,189.1,34.5,487.0,2,1,Meghalaya,East Khasi Hills,25.5788,91.8933
77.6,146.4,213.4,42.2,1758.0,2,1,Meghalaya,East Khasi Hills,25.5788,91.8933
86.1,170.7,299.9,34.5,2290.0,2,1,Meghalaya,East Khasi Hills,25.5788,91.8933
81.5,140.4,244.0,35.8,1631.0,2,1,Meghalaya,East Khasi Hills,25.5788,91.8933
87.1,204.1,396.9,40.1,1649.0,2,1,Meghalaya,East Khasi Hills,25.5788,91.8933
89.0,124.0,233.9,39.8,678.0,2,1,Meghalaya,East Khasi Hills,25.5788,91.8933
67.2,197.9,264.9,33.4,1202.0,2,1,Meghalaya,East Khasi Hills,25.5788,91.8933
70.2,123.9,225.6,25.4,2385.0,2,1,Meghalaya,East Khasi Hills,25.5788,91.8933
90.7,132.1,186.0,43.0,687.0,3,1,Nagaland,Kohima,25.6586,94.1086
75.9,214.2,427.7,48.2,1146.0,3,1,Nagaland,Kohima,25.6586,94.1086
85.6,178.8,280.9,44.2,426.0,3,1,Nagaland,Kohima,25.6586,94.1086
71.3,153.5,217.2,30.0,2407.0,3,1,Nagaland,Kohima,25.6586,94.1086
94.7,157.8,297.9,54.7,740.0,3,1,Nagaland,Kohima,25.6586,94.1086
78.4,135.0,183.0,47.7,1441.0,3,1,Nagaland,Kohima,25.6586,94.1086
79.1,101.1,144.2,52.2,507.0,3,1,Nagaland,Kohima,25.6586,94.1086
72.0,120.9,198.6,42.6,1584.0,3,1,Nagaland,Kohima,25.6586,94.1086
67.5,114.1,215.7,44.1,1958.0,3,1,Nagaland,Kohima,25.6586,94.1086
85.1,186.8,250.4,36.0,1695.0,3,1,Nagaland,Kohima,25.6586,94.1086
