rainfall_24h_mm,rainfall_72h_mm,soil_moisture_pct,slope_angle_deg,vulnerability_index,pore_water_pressure_kpa,elevation_m,vegetation_ndvi,landslide_probability_true,landslide_occurred
113.18,305.61,50.84,36.15,35.51,10.18,2680.8,0.524,0.9171,1
13.68,47.55,42.67,54.79,47.89,0.84,917.2,0.3,0.5704,1
56.22,143.0,48.28,45.18,60.12,4.99,1538.2,0.398,0.8644,1
242.87,441.38,76.89,41.41,82.48,41.74,1067.3,0.161,0.9996,1
82.73,174.6,40.63,29.72,45.26,7.11,2581.8,0.426,0.7959,1
84.95,244.21,43.26,29.72,65.81,4.96,2729.9,0.562,0.9021,1
37.34,107.15,38.99,25.15,47.58,3.54,2457.8,0.372,0.6131,1
4.1,47.72,47.12,50.11,38.21,0.31,2000.4,0.392,0.6304,1
5.89,38.06,23.02,41.48,63.92,0.27,1526.8,0.34,0.5082,1
44.29,152.15,45.91,44.44,40.18,2.52,3448.1,0.467,0.7572,1
27.49,135.28,44.96,22.26,61.8,2.94,292.4,0.422,0.6959,1
85.53,212.78,49.69,56.36,69.56,8.88,608.7,0.299,0.9486,1
72.26,253.26,58.77,48.7,41.19,6.62,2175.8,0.385,0.9201,1
56.61,177.59,40.54,31.67,60.31,4.79,2694.2,0.354,0.7982,1
19.74,58.02,28.11,30.65,88.65,0.88,3360.1,0.298,0.6015,1
175.0,401.02,67.13,30.7,25.65,18.06,1818.5,0.556,0.967,1
26.32,76.12,29.27,34.36,55.01,1.37,1077.4,0.488,0.5854,1
11.87,27.52,24.38,39.6,94.55,0.57,3049.0,0.217,0.7478,1
39.23,125.21,38.0,37.5,69.22,2.19,1653.9,0.354,0.7406,1
24.14,56.89,33.23,34.01,86.97,1.74,625.9,0.381,0.6163,1
4.46,13.05,30.05,41.75,82.93,0.26,1922.9,0.258,0.6338,1
38.77,116.53,52.61,29.08,82.45,2.47,1934.2,0.337,0.8029,1
70.8,174.76,42.34,34.03,70.07,5.74,956.4,0.357,0.8046,1
54.17,155.35,44.57,35.96,74.2,4.22,668.5,0.421,0.8693,1
125.37,325.72,53.62,38.03,47.81,13.92,670.2,0.43,0.9541,1
29.76,117.92,48.85,46.94,56.22,3.44,2917.0,0.491,0.7067,1
9.77,71.0,50.89,31.26,87.41,0.77,1853.4,0.389,0.6398,1
46.0,110.17,45.33,39.35,88.66,4.33,2630.0,0.248,0.8213,1
31.4,98.18,35.15,41.25,59.02,1.54,3376.2,0.427,0.5333,1
45.15,150.67,40.49,24.39,69.48,2.4,2813.6,0.498,0.7005,1
25.11,101.87,40.66,41.64,46.81,2.46,718.0,0.36,0.5632,1
8.84,23.96,28.45,30.25,72.61,0.58,1585.6,0.452,0.4869,0
